team_name,team_abbreviation,season_id,team_id_pre,wl_pre,fgm_pre,fga_pre,fg_pct_pre,fg3m_pre,fg3a_pre,fg3_pct_pre,ftm_pre,fta_pre,ft_pct_pre,oreb_pre,dreb_pre,reb_pre,ast_pre,stl_pre,blk_pre,tov_pre,pf_pre,pts_pre,plus_minus_pre,game_id_pre,games_played_pre,team_id_post,wl_post,fgm_post,fga_post,fg_pct_post,fg3m_post,fg3a_post,fg3_pct_post,ftm_post,fta_post,ft_pct_post,oreb_post,dreb_post,reb_post,ast_post,stl_post,blk_post,tov_post,pf_post,pts_post,plus_minus_post,game_id_post,games_played_post,winner,mvp_number,all_defensive,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playoff_eff,pretrade_eff,posttrade_eff,elo_score,all_star_number
Chicago Bulls,CHI,21997,1610612741.0,0.7272727272727273,36.945454545454545,83.25454545454545,0.44563636363636366,3.0727272727272728,9.981818181818182,0.29423636363636363,18.763636363636362,25.345454545454544,0.7403090909090909,16.036363636363635,30.21818181818182,46.25454545454546,23.563636363636363,8.254545454545454,4.2,14.781818181818181,21.272727272727273,95.72727272727273,6.163636363636364,29700383.29090909,55.0,1610612741.0,0.8148148148148148,38.22222222222222,82.29629629629629,0.4664814814814815,5.2592592592592595,15.296296296296296,0.3497037037037037,17.037037037037038,22.77777777777778,0.7351481481481481,13.37037037037037,28.74074074074074,42.111111111111114,24.296296296296298,8.962962962962964,4.518518518518518,13.518518518518519,19.296296296296298,98.74074074074075,9.037037037037036,29700983.592592593,27.0,1,1,2,21,242.4,34.1,76.7,0.445,4.2,13.0,0.324,30.0,63.8,0.47,20.7,28.1,0.734,14.0,27.0,41.0,20.5,9.0,4.5,12.6,22.8,93.1,105.5,110.32727272727273,115.29629629629629,1684.3516099821204,2
Chicago Bulls,CHI,22004,1610612741.0,0.5294117647058824,34.666666666666664,79.2156862745098,0.440156862745098,6.137254901960785,17.372549019607842,0.3534313725490196,18.215686274509803,24.80392156862745,0.7332156862745097,11.843137254901961,31.627450980392158,43.470588235294116,21.529411764705884,7.0,4.607843137254902,17.50980392156863,24.88235294117647,93.68627450980392,0.1568627450980392,20400411.74509804,51.0,1610612741.0,0.6451612903225806,34.87096774193548,82.3225806451613,0.42629032258064514,6.387096774193548,17.64516129032258,0.3556451612903226,19.580645161290324,25.258064516129032,0.7761290322580645,12.806451612903226,31.548387096774192,44.354838709677416,20.806451612903224,7.064516129032258,4.32258064516129,15.419354838709678,24.483870967741936,95.70967741935483,2.5483870967741935,20401015.16129032,31.0,0,0,0,6,240.0,35.5,84.7,0.419,9.0,23.2,0.388,26.5,61.5,0.431,22.5,31.2,0.722,14.2,30.3,44.5,21.7,6.3,5.0,15.2,29.2,102.5,106.9,101.64705882352938,103.70967741935482,1464.0937868934946,0
Chicago Bulls,CHI,22005,1610612741.0,0.4528301886792453,36.735849056603776,82.24528301886792,0.4497735849056604,7.018867924528302,18.28301886792453,0.38301886792452833,16.943396226415093,23.037735849056602,0.7329245283018868,10.962264150943396,31.32075471698113,42.283018867924525,22.754716981132077,6.377358490566038,4.188679245283019,15.39622641509434,24.71698113207547,97.43396226415095,-0.1320754716981132,20500402.79245283,53.0,1610612741.0,0.5862068965517241,36.44827586206897,82.0,0.4453103448275862,6.482758620689655,17.517241379310345,0.363551724137931,19.103448275862068,25.724137931034484,0.7423793103448276,11.206896551724139,32.48275862068966,43.689655172413794,20.620689655172413,5.862068965517241,4.241379310344827,14.068965517241379,25.103448275862068,98.48275862068965,2.0344827586206895,20501009.55172414,29.0,0,0,0,6,240.0,34.0,76.3,0.445,7.8,19.8,0.395,26.2,56.5,0.463,22.5,30.3,0.742,8.8,30.5,39.3,18.3,5.7,3.8,15.8,25.8,98.3,99.50000000000001,106.03773584905662,106.65517241379308,1509.6414740958608,0
Chicago Bulls,CHI,22006,1610612741.0,0.5535714285714286,36.94642857142857,80.83928571428571,0.45803571428571427,5.714285714285714,15.321428571428571,0.37339285714285714,19.321428571428573,26.267857142857142,0.7368035714285714,11.678571428571429,32.30357142857143,43.982142857142854,21.982142857142858,7.714285714285714,5.553571428571429,16.232142857142858,23.714285714285715,98.92857142857143,4.125,20600413.285714287,56.0,1610612741.0,0.6923076923076923,37.57692307692308,82.15384615384616,0.4583076923076923,6.153846153846154,14.576923076923077,0.4236923076923077,17.153846153846153,23.53846153846154,0.7301538461538463,12.692307692307692,30.307692307692307,43.0,23.115384615384617,7.961538461538462,5.153846153846154,15.423076923076923,22.307692307692307,98.46153846153847,6.923076923076923,20601010.53846154,26.0,0,0,2,10,240.0,32.5,75.6,0.43,5.9,16.6,0.355,26.6,59.0,0.451,21.5,29.5,0.729,11.6,30.3,41.9,20.6,7.0,4.2,15.3,22.1,92.4,99.7,111.08928571428571,111.30769230769228,1578.0175370728111,0
Chicago Bulls,CHI,22008,1610612741.0,0.4444444444444444,37.611111111111114,83.48148148148148,0.45166666666666666,5.962962962962963,15.851851851851851,0.3660740740740741,19.314814814814813,24.51851851851852,0.787611111111111,11.981481481481481,30.185185185185187,42.166666666666664,21.25925925925926,7.555555555555555,5.62962962962963,15.12962962962963,21.962962962962962,100.5,-1.5925925925925926,20800398.37037037,54.0,1610612741.0,0.6071428571428571,39.107142857142854,83.5,0.4682142857142857,6.107142857142857,15.607142857142858,0.3935,21.071428571428573,26.0,0.8067857142857143,11.535714285714286,30.392857142857142,41.92857142857143,20.857142857142858,7.392857142857143,5.321428571428571,13.392857142857142,18.678571428571427,105.39285714285714,2.25,20801009.285714287,28.0,0,0,0,7,265.0,38.4,87.1,0.441,7.3,19.3,0.378,31.1,67.9,0.459,24.1,29.9,0.809,10.4,35.1,45.6,19.9,6.7,8.1,16.1,24.6,108.3,118.00000000000003,110.90740740740736,118.17857142857144,1475.014735294929,0
Chicago Bulls,CHI,22009,1610612741.0,0.5094339622641509,37.18867924528302,83.75471698113208,0.44554716981132075,3.943396226415094,11.679245283018869,0.34350943396226413,17.71698113207547,23.358490566037737,0.7603396226415094,11.924528301886792,33.56603773584906,45.490566037735846,20.20754716981132,6.811320754716981,6.283018867924528,14.81132075471698,19.49056603773585,96.0377358490566,-1.830188679245283,20900414.20754717,53.0,1610612741.0,0.4827586206896552,38.275862068965516,82.27586206896552,0.46541379310344827,4.931034482758621,15.413793103448276,0.3225172413793103,18.620689655172413,24.96551724137931,0.7418620689655172,10.517241379310345,32.275862068965516,42.793103448275865,21.82758620689655,5.862068965517241,5.0,13.448275862068966,21.20689655172414,100.10344827586206,-1.2758620689655173,20901017.068965517,29.0,0,0,0,5,240.0,37.8,86.2,0.439,3.2,10.8,0.296,34.6,75.4,0.459,18.2,22.8,0.798,10.8,30.2,41.0,19.0,5.8,3.0,10.0,21.4,97.0,102.80000000000001,107.811320754717,111.79310344827586,1492.874177439637,0
Chicago Bulls,CHI,22010,1610612741.0,0.6964285714285714,37.32142857142857,81.0,0.4617678571428572,5.892857142857143,16.25,0.36507142857142855,18.017857142857142,24.553571428571427,0.730642857142857,11.482142857142858,32.57142857142857,44.05357142857143,21.732142857142858,7.142857142857143,5.821428571428571,14.357142857142858,20.517857142857142,98.55357142857143,5.75,21000436.57142857,56.0,1610612741.0,0.8846153846153846,36.61538461538461,78.88461538461539,0.46638461538461534,6.961538461538462,19.423076923076923,0.3501153846153846,18.576923076923077,24.346153846153847,0.7665,12.461538461538462,31.923076923076923,44.38461538461539,23.46153846153846,7.384615384615385,5.461538461538462,13.73076923076923,18.846153846153847,98.76923076923077,10.692307692307692,21001048.269230768,26.0,0,1,1,16,241.6,34.0,80.6,0.422,6.3,19.2,0.329,27.7,61.4,0.451,18.2,23.2,0.784,13.4,30.2,43.6,20.1,7.3,6.6,13.6,21.3,92.5,104.9,112.73214285714286,117.69230769230768,1609.197069207233,1
Chicago Bulls,CHI,22011,1610612741.0,0.8,38.044444444444444,82.42222222222222,0.46266666666666667,6.2,16.08888888888889,0.3863111111111111,16.0,21.88888888888889,0.7262000000000001,13.577777777777778,32.422222222222224,46.0,23.42222222222222,7.177777777777778,5.733333333333333,14.044444444444444,17.68888888888889,98.28888888888889,9.066666666666666,21100310.733333334,45.0,1610612741.0,0.6666666666666666,35.95238095238095,83.47619047619048,0.4312380952380952,6.666666666666667,18.714285714285715,0.3534285714285714,13.619047619047619,19.476190476190474,0.7051428571428572,14.476190476190476,33.61904761904762,48.095238095238095,22.523809523809526,6.333333333333333,6.190476190476191,13.857142857142858,16.333333333333332,92.19047619047619,6.285714285714286,21100815.14285714,21.0,0,0,1,6,240.0,34.0,80.7,0.421,4.3,12.7,0.342,29.7,68.0,0.436,12.0,18.5,0.649,11.5,35.3,46.8,22.5,5.2,6.7,14.3,20.5,84.3,97.99999999999997,116.3111111111111,108.09523809523809,1673.432977643424,1
Chicago Bulls,CHI,22012,1610612741.0,0.5740740740740741,35.5,81.12962962962963,0.43957407407407406,4.722222222222222,13.777777777777779,0.34455555555555556,16.944444444444443,21.74074074074074,0.7778333333333334,12.814814814814815,30.85185185185185,43.666666666666664,22.72222222222222,7.277777777777778,5.314814814814815,14.962962962962964,19.59259259259259,92.66666666666667,1.3148148148148149,21200411.277777776,54.0,1610612741.0,0.5,36.035714285714285,82.75,0.4367142857142857,6.821428571428571,18.607142857142858,0.36289285714285713,15.285714285714286,20.142857142857142,0.7675714285714286,11.928571428571429,30.285714285714285,42.214285714285715,23.535714285714285,6.964285714285714,4.642857142857143,12.964285714285714,19.964285714285715,94.17857142857143,-1.6071428571428572,21201028.92857143,28.0,0,0,1,12,246.3,35.0,79.9,0.438,5.4,17.0,0.319,29.6,62.9,0.47,16.5,22.9,0.72,11.8,29.0,40.8,19.5,6.4,4.6,14.3,22.4,91.9,97.59999999999998,106.25925925925927,106.99999999999999,1568.3081496341856,2
Chicago Bulls,CHI,22013,1610612741.0,0.5283018867924528,34.320754716981135,80.45283018867924,0.42760377358490564,5.886792452830188,17.41509433962264,0.33769811320754717,17.77358490566038,23.09433962264151,0.7704528301886793,11.962264150943396,32.716981132075475,44.679245283018865,22.22641509433962,7.283018867924528,5.320754716981132,15.735849056603774,19.18867924528302,92.30188679245283,-0.03773584905660377,21300417.603773586,53.0,1610612741.0,0.6896551724137931,35.310344827586206,79.75862068965517,0.4436551724137931,6.758620689655173,18.482758620689655,0.3628620689655172,18.75862068965517,23.586206896551722,0.8006206896551724,10.448275862068966,32.724137931034484,43.172413793103445,23.517241379310345,7.172413793103448,4.896551724137931,13.413793103448276,18.896551724137932,96.13793103448276,5.310344827586207,21301015.275862068,29.0,0,0,2,5,245.0,33.2,78.6,0.422,6.4,19.2,0.333,26.8,59.4,0.451,17.2,22.8,0.754,12.2,29.6,41.8,20.2,5.0,4.4,13.2,22.0,90.0,97.2,104.62264150943398,112.20689655172418,1527.9230293735932,2
Chicago Bulls,CHI,22014,1610612741.0,0.6296296296296297,37.03703703703704,83.33333333333333,0.4464444444444445,7.703703703703703,21.444444444444443,0.3620185185185185,20.38888888888889,26.0,0.7792037037037036,11.981481481481481,33.592592592592595,45.574074074074076,21.64814814814815,6.425925925925926,6.333333333333333,13.962962962962964,18.22222222222222,102.16666666666667,3.0925925925925926,21400399.740740743,54.0,1610612741.0,0.5714285714285714,35.75,82.03571428571429,0.43689285714285714,8.178571428571429,23.821428571428573,0.3373214285714286,18.464285714285715,23.678571428571427,0.7870714285714285,11.142857142857142,34.92857142857143,46.07142857142857,21.857142857142858,5.964285714285714,4.785714285714286,13.964285714285714,18.25,98.14285714285714,2.8214285714285716,21401005.035714287,28.0,0,0,1,12,244.2,35.1,83.8,0.419,9.2,24.6,0.373,25.9,59.2,0.438,16.7,21.5,0.775,11.7,33.8,45.4,22.2,7.2,6.6,14.0,18.8,96.0,109.89999999999999,116.27777777777783,111.35714285714286,1575.8947938672106,1
Chicago Bulls,CHI,22016,1610612741.0,0.49122807017543857,38.05263157894737,86.42105263157895,0.44149122807017543,6.43859649122807,20.36842105263158,0.31235087719298243,19.596491228070175,24.50877192982456,0.8002807017543859,12.824561403508772,33.70175438596491,46.526315789473685,21.19298245614035,7.649122807017544,4.964912280701754,13.473684210526315,17.57894736842105,102.14035087719299,-0.6666666666666666,21600430.315789472,57.0,1610612741.0,0.52,40.0,88.6,0.45216,10.24,26.8,0.38468,14.28,18.04,0.7906799999999999,10.72,35.04,45.76,25.72,8.28,4.4,13.76,18.12,104.52,2.92,21601038.96,25.0,0,0,0,6,240.0,36.3,82.5,0.44,7.0,23.5,0.298,29.3,59.0,0.497,16.8,19.8,0.849,12.5,34.2,46.7,20.0,7.2,5.2,15.3,18.3,96.5,111.09999999999998,115.71929824561404,122.56000000000002,1487.564299642528,1
Chicago Bulls,CHI,22021,1610612741.0,0.6181818181818182,41.70909090909091,86.92727272727272,0.4797090909090909,11.254545454545454,30.01818181818182,0.37229090909090906,17.327272727272728,21.29090909090909,0.8094363636363636,8.836363636363636,34.03636363636364,42.872727272727275,24.4,7.181818181818182,4.6,12.945454545454545,18.70909090909091,112.0,1.7818181818181817,22100414.927272726,55.0,1610612741.0,0.4444444444444444,41.77777777777778,86.88888888888889,0.4813703703703704,9.37037037037037,26.40740740740741,0.3547037037037037,17.88888888888889,22.037037037037038,0.8069259259259259,8.333333333333334,32.888888888888886,41.22222222222222,22.814814814814813,7.037037037037037,3.074074074074074,12.62962962962963,18.925925925925927,110.81481481481481,-4.814814814814815,22101023.703703705,27.0,0,0,0,5,240.0,36.4,90.2,0.404,10.4,36.8,0.283,26.0,53.4,0.487,12.0,14.4,0.833,8.2,35.8,44.0,23.0,7.8,3.2,13.0,18.6,95.2,103.99999999999997,128.92727272727274,123.07407407407406,1532.862379993166,1
Cleveland Cavaliers,CLE,21989,1610612739.0,0.45098039215686275,38.627450980392155,86.19607843137256,0.44854901960784316,4.313725490196078,10.980392156862745,0.3799607843137255,18.529411764705884,25.686274509803923,0.7198627450980393,14.705882352941176,28.568627450980394,43.27450980392157,24.764705882352942,7.921568627450981,6.03921568627451,14.647058823529411,20.901960784313726,100.09803921568627,-2.0784313725490198,28900354.11764706,51.0,1610612739.0,0.6129032258064516,40.12903225806452,83.25806451612904,0.4824193548387097,4.064516129032258,9.387096774193548,0.44306451612903225,22.322580645161292,28.741935483870968,0.7781612903225806,12.193548387096774,29.774193548387096,41.96774193548387,27.193548387096776,7.774193548387097,6.580645161290323,14.774193548387096,19.35483870967742,106.64516129032258,2.6129032258064515,28900905.741935484,31.0,0,0,0,5,240.0,40.2,77.8,0.517,2.2,7.0,0.314,38.0,70.8,0.537,24.2,31.2,0.776,9.2,31.6,40.8,27.4,6.6,4.6,13.0,22.2,106.8,128.6,112.72549019607841,125.83870967741939,1500.6183684048217,3
Cleveland Cavaliers,CLE,21991,1610612739.0,0.6666666666666666,41.27450980392157,85.62745098039215,0.48301960784313724,3.0,8.529411764705882,0.34156862745098043,22.96078431372549,28.41176470588235,0.8060588235294118,13.07843137254902,29.627450980392158,42.705882352941174,26.647058823529413,7.549019607843137,7.470588235294118,12.627450980392156,19.529411764705884,108.50980392156863,5.254901960784314,29100360.80392157,51.0,1610612739.0,0.7419354838709677,42.645161290322584,85.74193548387096,0.4986774193548387,3.225806451612903,8.806451612903226,0.3692258064516129,20.903225806451612,26.129032258064516,0.796741935483871,12.064516129032258,30.29032258064516,42.354838709677416,29.06451612903226,7.451612903225806,7.741935483870968,12.67741935483871,18.06451612903226,109.41935483870968,5.774193548387097,29100917.419354837,31.0,0,0,1,17,241.5,38.5,79.8,0.483,3.0,8.7,0.345,35.5,71.1,0.5,23.5,28.4,0.828,11.9,29.2,41.1,26.4,7.4,6.1,14.2,20.4,103.6,124.2,130.4509803921569,135.03225806451613,1586.2457587462736,1
Cleveland Cavaliers,CLE,21992,1610612739.0,0.6086956521739131,42.45652173913044,83.76086956521739,0.5071739130434783,3.0,8.108695652173912,0.38269565217391305,20.82608695652174,25.91304347826087,0.7994782608695651,11.021739130434783,29.67391304347826,40.69565217391305,28.630434782608695,7.586956521739131,6.586956521739131,13.804347826086957,19.695652173913043,108.73913043478261,6.260869565217392,29200288.304347824,46.0,1610612739.0,0.7222222222222222,40.888888888888886,84.27777777777777,0.4859166666666667,4.027777777777778,10.25,0.3975555555555556,20.583333333333332,25.75,0.7961111111111111,11.722222222222221,31.416666666666668,43.138888888888886,28.666666666666668,7.388888888888889,6.444444444444445,12.722222222222221,18.72222222222222,106.38888888888889,6.694444444444445,29200848.944444444,36.0,0,0,1,9,240.0,36.6,78.7,0.465,3.1,8.9,0.35,33.4,69.8,0.479,17.6,21.9,0.802,11.9,26.8,38.7,23.9,8.2,5.4,15.6,19.1,93.8,108.00000000000001,132.04347826086953,130.75,1638.0357308299951,2
