season_id,POR,WAS,SEA,DET,CHI,BUF,PHL,NOJ,LAL,GOS,CLE,MIL,NYK,ATL,KCK,PHX,HOU,BOS,IND,DEN,SAN,NYN,NJN,SDC,UTH,DAL,LAC,SAC,MIA,CHH,ORL,MIN,TOR,VAN,GSW,PHI,UTA,SAS,MEM,NOH,CHA,NOK,OKC,BKN,NOP
21989,1628.4147719849934,1458.654543579099,1531.2855158809532,1654.328976966389,1598.8721911013286,1499.4099995708796,1569.0254793543936,1497.1939876628246,1658.0419692482283,1425.0802109814695,1500.6183684048215,1506.6399161387976,1558.2781244128344,1525.121779436076,1488.9153391616182,1582.038273629249,1516.3069152356545,1590.8535722601055,1501.6097274520603,1545.6728194822024,1535.8491131733904,1498.2486729500556,1343.8334583916374,1488.6992569778026,1611.4468543962673,1538.3208119980816,1395.3531274149714,1371.90932737363,1353.619785071483,1361.4404683364191,1376.1799540502257,1422.1548696096513,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21990,1697.6824468403418,1411.6187493371267,1509.3376690548318,1604.5673903829781,1669.2637143253623,1500.8074996781597,1548.4949713434135,1499.1454907471184,1660.3381694103475,1516.0627545089992,1455.6969696003937,1552.0781015767031,1495.8415397453416,1538.5638211122377,1492.9365043712137,1630.0913712616373,1582.1063274069425,1645.7637681905628,1493.7526071215675,1355.5930493764188,1613.4482714110284,1499.9365047125416,1364.336954918128,1492.7744427333519,1595.6207542196098,1455.171285372889,1408.94820313744,1354.8066285681698,1358.2070005503401,1372.8420182212199,1364.4511483329422,1399.777508696338,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21991,1663.3852322157309,1397.795227256747,1537.131728218558,1554.1594398177383,1737.434745126809,1501.8556247586198,1479.4966040790794,1500.609118060339,1536.6015991849667,1593.3428720328561,1586.2457587462736,1498.5829653832986,1570.5822387544097,1499.4051732506232,1495.9523782784104,1622.2668754201468,1507.2153388076772,1556.446246968389,1520.7379892315096,1353.9906231553305,1600.8174835578318,1501.2023785344063,1438.617893913842,1495.830832050014,1604.326189117307,1352.1237156398097,1496.790643017808,1372.4365861679635,1427.1341004478033,1414.0028286356815,1371.8291361552367,1356.698161214057,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21992,1598.9344340338923,1367.70629947204,1632.4602918255341,1495.7504867674197,1669.7103006957182,1502.6417185689647,1406.8453625014886,1501.7068385452542,1493.8343149279747,1510.2735761471213,1638.0357308299951,1429.894023792723,1623.1639873198985,1484.5265885952017,1498.2142837088077,1675.6646386066473,1556.552591101314,1545.4171335835686,1535.2928062477229,1407.2188877807714,1567.1020086375825,1502.1517839008047,1529.3844817980664,1498.1231240375105,1575.4678929514864,1215.3818639520948,1526.082023733517,1415.6502287017527,1462.6841315285506,1478.9442091158046,1481.5499452304525,1322.4198067597752,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21993,1572.8444709608002,1353.789084032954,1669.727462538149,1391.5115188606744,1611.543533530209,1503.2312889267237,1386.803621262181,1502.5301289089407,1421.7821999260746,1519.0264582295217,1598.917918677018,1361.8636159899027,1659.468807739997,1615.1317745156243,1499.9107127816058,1630.2560092272167,1631.2517001665378,1457.818617107142,1551.121338599285,1513.367959766991,1603.0788533399077,1502.8638379256035,1527.4883419785292,1499.8423430281327,1581.6533020189368,1233.9044337092946,1427.3724742094366,1377.8157560332197,1544.321528944819,1497.4521533482205,1568.4139835698932,1335.4841166960496,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21994,1578.4027871003364,1350.3317319693165,1676.731802258818,1354.5021753597005,1573.0942387215664,1503.6734666950429,1360.8427754573277,1503.1475966817056,1510.3314337818083,1444.1979620933705,1554.4693548468078,1379.7219782033678,1598.6524636298088,1533.0071900530743,1501.1830345862043,1622.5079559186045,1578.2207577206955,1437.0058572359708,1590.1147555342766,1529.9136485236818,1638.964091398228,1503.3978784442027,1463.3455273785637,1501.1317572710996,1656.039635239182,1415.2497867472803,1324.0926349425642,1485.6145463782211,1469.5036834655984,1555.1018758391906,1651.463467609089,1309.7341588274885,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21995,1532.3242063530054,1478.8939526919462,1677.6991806365531,1492.2780602279165,1739.4130665173057,1504.005100021282,1305.6038743637368,1503.6106975112793,1576.8193841206146,1445.7582476394564,1523.2148951532074,1406.2914014836426,1575.1036574804473,1544.0897159285846,1502.1372759396531,1537.1558917019622,1568.0076400746077,1431.4155404448225,1594.8758836900213,1482.5247384424392,1659.3405055513765,1503.798408833152,1414.3349757504893,1502.0988179533247,1649.7413363510113,1406.2269838256814,1404.099145335491,1472.1247971291873,1497.0207801742513,1512.9960758038794,1619.2821974144888,1376.1389454099824,1390.9336835996119,1325.9099438797346,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21996,1559.5279930154431,1517.5697314082784,1664.2748725390486,1621.8635891619708,1776.0780012366608,1504.2538250159614,1343.3566135681817,1503.9580231334594,1608.7083332180896,1471.955960587224,1561.9830635728304,1455.9660519837144,1585.1018311324963,1607.8511511763197,1502.85295695474,1496.2482573153409,1584.9875837619782,1367.4348623343058,1542.9356122729673,1387.1843567172261,1608.8929682683636,1504.098806624864,1384.6519507257838,1502.8241134649934,1593.5597894390276,1366.9710417860638,1436.4962237149377,1421.826185410365,1630.4563292907621,1554.490323073337,1550.3279722536813,1444.2786028102453,1399.0654797592078,1263.8201516327338,1433.40083251387,1404.8595947658675,1622.530041948322,1372.3086779869457,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21997,1563.6250563212352,1543.4978956240013,1652.8064978604075,1536.3321694697684,1684.3516099821204,1504.440368761971,1383.7674601761364,1504.2185173500945,1646.4885790249025,1480.216970440418,1560.1317849724064,1477.7122371909838,1572.5310041669031,1592.5740258390983,1503.389717716055,1586.8850322502199,1545.467207768608,1416.790475234597,1623.7026460378765,1250.7242293119145,1582.9197262012729,1504.324104968648,1512.2669070182092,1503.368085098745,1571.4198420792707,1333.1858842872666,1342.5033506535829,1431.334389179924,1642.1775402888436,1575.6657363745996,1487.9892691609273,1497.235700868055,1345.2040842705335,1294.7976699755006,1315.9541969845473,1411.1850191178933,1659.502196498088,1526.0266281560812,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
21998,1584.6220164957633,1491.7745505721696,1554.1563010357504,1566.1603568579535,1491.2504891444803,1504.5802765714784,1414.0755951321023,1504.4138880125709,1622.2009526326958,1486.4127278303135,1538.9315576871888,1511.2445644529416,1529.79559557568,1588.1287845972722,1503.7922882870412,1558.564036042512,1515.888997738582,1444.8396054344012,1622.0915153035119,1319.8452719684387,1563.4397946509546,1504.4930787264861,1450.9330098478208,1503.7760638240588,1554.814881559453,1388.1940756807799,1299.573534537349,1415.5962892466378,1622.1747296970111,1516.1455426112914,1561.9704298585789,1513.6063314095823,1402.2406246736564,1281.3134011926616,1403.3098587252443,1534.4258344478449,1676.079679332272,1627.678831116752,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
