team_name,season_id,mvp_number
Chicago Bulls,22004,0
Chicago Bulls,22005,0
Chicago Bulls,22006,2
Chicago Bulls,22007,0
Chicago Bulls,22008,0
Chicago Bulls,22009,0
Chicago Bulls,22010,1
Chicago Bulls,22011,1
Chicago Bulls,22012,1
Chicago Bulls,22013,2
Chicago Bulls,22014,1
Chicago Bulls,22015,1
Chicago Bulls,22016,0
Chicago Bulls,22018,0
Chicago Bulls,22019,0
Chicago Bulls,22020,0
Chicago Bulls,22021,0
Chicago Bulls,22022,1
Chicago Packers,21989,0
Chicago Packers,21990,0
Chicago Packers,21991,0
Chicago Packers,21992,0
Chicago Packers,21993,0
Chicago Packers,21994,0
Chicago Packers,21995,0
Chicago Packers,21996,0
Chicago Packers,21997,0
Chicago Packers,21998,0
Chicago Packers,21999,0
Chicago Packers,22000,0
Chicago Packers,22001,0
Chicago Packers,22002,0
Chicago Packers,22003,0
Chicago Packers,22004,0
Chicago Packers,22005,0
Chicago Packers,22006,0
Chicago Packers,22007,0
Chicago Packers,22008,0
Chicago Packers,22009,0
Chicago Packers,22010,0
Chicago Packers,22011,0
Chicago Packers,22012,0
Chicago Packers,22013,0
Chicago Packers,22014,0
Chicago Packers,22015,0
Chicago Packers,22016,0
Chicago Packers,22018,0
Chicago Packers,22019,0
Chicago Packers,22020,0
Chicago Packers,22021,0
Chicago Packers,22022,0
Chicago Stags,21989,0
Chicago Stags,21990,0
Chicago Stags,21991,0
Chicago Stags,21992,0
Chicago Stags,21993,0
Chicago Stags,21994,0
Chicago Stags,21995,0
Chicago Stags,21996,0
Chicago Stags,21997,0
Chicago Stags,21998,0
Chicago Stags,21999,0
Chicago Stags,22000,0
Chicago Stags,22001,0
Chicago Stags,22002,0
Chicago Stags,22003,0
Chicago Stags,22004,0
Chicago Stags,22005,0
Chicago Stags,22006,0
Chicago Stags,22007,0
Chicago Stags,22008,0
Chicago Stags,22009,0
Chicago Stags,22010,0
Chicago Stags,22011,0
Chicago Stags,22012,0
Chicago Stags,22013,0
Chicago Stags,22014,0
Chicago Stags,22015,0
Chicago Stags,22016,0
Chicago Stags,22018,0
Chicago Stags,22019,0
Chicago Stags,22020,0
Chicago Stags,22021,0
Chicago Stags,22022,0
Chicago Zephyrs,21989,0
Chicago Zephyrs,21990,0
Chicago Zephyrs,21991,0
Chicago Zephyrs,21992,0
Chicago Zephyrs,21993,0
Chicago Zephyrs,21994,0
Chicago Zephyrs,21995,0
Chicago Zephyrs,21996,0
Chicago Zephyrs,21997,0
Chicago Zephyrs,21998,0
Chicago Zephyrs,21999,0
Chicago Zephyrs,22000,0
Chicago Zephyrs,22001,0
Chicago Zephyrs,22002,0
Chicago Zephyrs,22003,0
Chicago Zephyrs,22004,0
Chicago Zephyrs,22005,0
Chicago Zephyrs,22006,0
Chicago Zephyrs,22007,0
Chicago Zephyrs,22008,0
Chicago Zephyrs,22009,0
Chicago Zephyrs,22010,0
Chicago Zephyrs,22011,0
Chicago Zephyrs,22012,0
Chicago Zephyrs,22013,0
Chicago Zephyrs,22014,0
Chicago Zephyrs,22015,0
Chicago Zephyrs,22016,0
Chicago Zephyrs,22018,0
Chicago Zephyrs,22019,0
Chicago Zephyrs,22020,0
Chicago Zephyrs,22021,0
Chicago Zephyrs,22022,0
Cincinnati Royals,21989,0
Cincinnati Royals,21990,0
Cincinnati Royals,21991,0
Cincinnati Royals,21992,0
Cincinnati Royals,21993,0
Cincinnati Royals,21994,0
Cincinnati Royals,21995,0
Cincinnati Royals,21996,0
Cincinnati Royals,21997,0
Cincinnati Royals,21998,0
Cincinnati Royals,21999,0
Cincinnati Royals,22000,0
Cincinnati Royals,22001,0
Cincinnati Royals,22002,0
Cincinnati Royals,22003,0
Cincinnati Royals,22004,0
Cincinnati Royals,22005,0
Cincinnati Royals,22006,0
Cincinnati Royals,22007,0
Cincinnati Royals,22008,0
Cincinnati Royals,22009,0
Cincinnati Royals,22010,0
Cincinnati Royals,22011,0
Cincinnati Royals,22012,0
Cincinnati Royals,22013,0
Cincinnati Royals,22014,0
Cincinnati Royals,22015,0
Cincinnati Royals,22016,0
Cincinnati Royals,22018,0
Cincinnati Royals,22019,0
Cincinnati Royals,22020,0
Cincinnati Royals,22021,0
Cincinnati Royals,22022,0
Cleveland Cavaliers,21989,0
Cleveland Cavaliers,21990,0
Cleveland Cavaliers,21991,1
Cleveland Cavaliers,21992,1
Cleveland Cavaliers,21993,0
Cleveland Cavaliers,21994,0
Cleveland Cavaliers,21995,1
Cleveland Cavaliers,21996,0
Cleveland Cavaliers,21997,0
Cleveland Cavaliers,21998,0
Cleveland Cavaliers,21999,0
Cleveland Cavaliers,22000,0
Cleveland Cavaliers,22001,0
Cleveland Cavaliers,22002,0
Cleveland Cavaliers,22003,0
Cleveland Cavaliers,22004,0
Cleveland Cavaliers,22005,0
Cleveland Cavaliers,22006,0
Cleveland Cavaliers,22007,0
Cleveland Cavaliers,22008,1
Cleveland Cavaliers,22009,2
Cleveland Cavaliers,22010,0
Cleveland Cavaliers,22011,0
Cleveland Cavaliers,22012,0
Cleveland Cavaliers,22013,0
Cleveland Cavaliers,22014,0
Cleveland Cavaliers,22015,0
Cleveland Cavaliers,22016,0
Cleveland Cavaliers,22018,0
Cleveland Cavaliers,22019,0
Cleveland Cavaliers,22020,0
Cleveland Cavaliers,22021,0
Cleveland Cavaliers,22022,1
Cleveland Rebels,21989,0
Cleveland Rebels,21990,0
Cleveland Rebels,21991,0
Cleveland Rebels,21992,0
Cleveland Rebels,21993,0
Cleveland Rebels,21994,0
Cleveland Rebels,21995,0
Cleveland Rebels,21996,0
Cleveland Rebels,21997,0
Cleveland Rebels,21998,0
Cleveland Rebels,21999,0
Cleveland Rebels,22000,0
Cleveland Rebels,22001,0
Cleveland Rebels,22002,0
Cleveland Rebels,22003,0
Cleveland Rebels,22004,0
Cleveland Rebels,22005,0
Cleveland Rebels,22006,0
Cleveland Rebels,22007,0
Cleveland Rebels,22008,0
Cleveland Rebels,22009,0
Cleveland Rebels,22010,0
Cleveland Rebels,22011,0
Cleveland Rebels,22012,0
Cleveland Rebels,22013,0
Cleveland Rebels,22014,0
Cleveland Rebels,22015,0
Cleveland Rebels,22016,0
Cleveland Rebels,22018,0
Cleveland Rebels,22019,0
Cleveland Rebels,22020,0
