team_name,season_id,all_star_number
LA Clippers,22000,0
LA Clippers,22001,0
LA Clippers,22002,0
LA Clippers,22003,0
LA Clippers,22004,0
LA Clippers,22005,0
LA Clippers,22006,1
LA Clippers,22007,0
LA Clippers,22008,0
LA Clippers,22009,0
LA Clippers,22010,1
LA Clippers,22011,1
LA Clippers,22012,2
LA Clippers,22013,2
LA Clippers,22014,2
LA Clippers,22015,1
LA Clippers,22016,1
LA Clippers,22018,0
LA Clippers,22019,0
LA Clippers,22020,1
LA Clippers,22021,2
LA Clippers,22022,0
Los Angeles Clippers,21989,0
Los Angeles Clippers,21990,0
Los Angeles Clippers,21991,0
Los Angeles Clippers,21992,0
Los Angeles Clippers,21993,0
Los Angeles Clippers,21994,0
Los Angeles Clippers,21995,0
Los Angeles Clippers,21996,0
Los Angeles Clippers,21997,0
Los Angeles Clippers,21998,0
Los Angeles Clippers,21999,0
Los Angeles Clippers,22000,0
Los Angeles Clippers,22001,0
Los Angeles Clippers,22002,0
Los Angeles Clippers,22003,0
Los Angeles Clippers,22004,0
Los Angeles Clippers,22005,0
Los Angeles Clippers,22006,0
Los Angeles Clippers,22007,0
Los Angeles Clippers,22008,0
Los Angeles Clippers,22009,0
Los Angeles Clippers,22010,0
Los Angeles Clippers,22011,0
Los Angeles Clippers,22012,0
Los Angeles Clippers,22013,0
Los Angeles Clippers,22014,0
Los Angeles Clippers,22015,0
Los Angeles Clippers,22016,0
Los Angeles Clippers,22018,0
Los Angeles Clippers,22019,0
Los Angeles Clippers,22020,0
Los Angeles Clippers,22021,0
Los Angeles Clippers,22022,0
Los Angeles Lakers,21989,2
Los Angeles Lakers,21990,3
Los Angeles Lakers,21991,2
Los Angeles Lakers,21992,2
Los Angeles Lakers,21993,0
Los Angeles Lakers,21994,0
Los Angeles Lakers,21995,0
Los Angeles Lakers,21996,0
Los Angeles Lakers,21997,1
Los Angeles Lakers,21998,4
Los Angeles Lakers,21999,0
Los Angeles Lakers,22000,2
Los Angeles Lakers,22001,1
Los Angeles Lakers,22002,1
Los Angeles Lakers,22003,2
Los Angeles Lakers,22004,2
Los Angeles Lakers,22005,1
Los Angeles Lakers,22006,1
Los Angeles Lakers,22007,1
Los Angeles Lakers,22008,1
Los Angeles Lakers,22009,2
Los Angeles Lakers,22010,1
Los Angeles Lakers,22011,2
Los Angeles Lakers,22012,2
Los Angeles Lakers,22013,2
Los Angeles Lakers,22014,0
Los Angeles Lakers,22015,0
Los Angeles Lakers,22016,1
Los Angeles Lakers,22018,0
Los Angeles Lakers,22019,1
Los Angeles Lakers,22020,2
Los Angeles Lakers,22021,1
Los Angeles Lakers,22022,1
Memphis Grizzlies,21989,0
Memphis Grizzlies,21990,0
Memphis Grizzlies,21991,0
Memphis Grizzlies,21992,0
Memphis Grizzlies,21993,0
Memphis Grizzlies,21994,0
Memphis Grizzlies,21995,0
Memphis Grizzlies,21996,0
Memphis Grizzlies,21997,0
Memphis Grizzlies,21998,0
Memphis Grizzlies,21999,0
Memphis Grizzlies,22000,0
Memphis Grizzlies,22001,0
Memphis Grizzlies,22002,0
Memphis Grizzlies,22003,0
Memphis Grizzlies,22004,0
Memphis Grizzlies,22005,0
Memphis Grizzlies,22006,1
Memphis Grizzlies,22007,0
Memphis Grizzlies,22008,0
Memphis Grizzlies,22009,0
Memphis Grizzlies,22010,1
Memphis Grizzlies,22011,0
Memphis Grizzlies,22012,1
Memphis Grizzlies,22013,1
Memphis Grizzlies,22014,0
Memphis Grizzlies,22015,1
Memphis Grizzlies,22016,0
Memphis Grizzlies,22018,0
Memphis Grizzlies,22019,0
Memphis Grizzlies,22020,0
Memphis Grizzlies,22021,0
Memphis Grizzlies,22022,1
Miami Heat,21989,0
Miami Heat,21990,0
Miami Heat,21991,0
Miami Heat,21992,0
Miami Heat,21993,0
Miami Heat,21994,0
Miami Heat,21995,0
Miami Heat,21996,1
Miami Heat,21997,1
Miami Heat,21998,1
Miami Heat,21999,0
Miami Heat,22000,1
Miami Heat,22001,1
Miami Heat,22002,1
Miami Heat,22003,0
Miami Heat,22004,0
Miami Heat,22005,2
Miami Heat,22006,2
Miami Heat,22007,2
Miami Heat,22008,1
Miami Heat,22009,1
Miami Heat,22010,1
Miami Heat,22011,3
Miami Heat,22012,3
Miami Heat,22013,3
Miami Heat,22014,3
Miami Heat,22015,1
Miami Heat,22016,1
Miami Heat,22018,1
Miami Heat,22019,1
Miami Heat,22020,2
Miami Heat,22021,0
Miami Heat,22022,1
Milwaukee Bucks,21989,1
Milwaukee Bucks,21990,0
Milwaukee Bucks,21991,2
Milwaukee Bucks,21992,0
Milwaukee Bucks,21993,0
Milwaukee Bucks,21994,0
Milwaukee Bucks,21995,1
Milwaukee Bucks,21996,1
Milwaukee Bucks,21997,1
Milwaukee Bucks,21998,0
Milwaukee Bucks,21999,0
Milwaukee Bucks,22000,2
Milwaukee Bucks,22001,2
Milwaukee Bucks,22002,1
Milwaukee Bucks,22003,0
Milwaukee Bucks,22004,1
Milwaukee Bucks,22005,0
Milwaukee Bucks,22006,0
Milwaukee Bucks,22007,0
Milwaukee Bucks,22008,0
Milwaukee Bucks,22009,0
Milwaukee Bucks,22010,0
Milwaukee Bucks,22011,0
Milwaukee Bucks,22012,0
Milwaukee Bucks,22013,0
Milwaukee Bucks,22014,0
Milwaukee Bucks,22015,0
Milwaukee Bucks,22016,0
Milwaukee Bucks,22018,1
Milwaukee Bucks,22019,2
Milwaukee Bucks,22020,2
Milwaukee Bucks,22021,1
Milwaukee Bucks,22022,2
Minnesota Timberwolves,21989,0
Minnesota Timberwolves,21990,0
Minnesota Timberwolves,21991,0
Minnesota Timberwolves,21992,0
Minnesota Timberwolves,21993,0
Minnesota Timberwolves,21994,0
Minnesota Timberwolves,21995,0
Minnesota Timberwolves,21996,0
Minnesota Timberwolves,21997,2
Minnesota Timberwolves,21998,1
Minnesota Timberwolves,21999,0
Minnesota Timberwolves,22000,1
Minnesota Timberwolves,22001,1
Minnesota Timberwolves,22002,2
Minnesota Timberwolves,22003,1
Minnesota Timberwolves,22004,2
Minnesota Timberwolves,22005,1
Minnesota Timberwolves,22006,1
Minnesota Timberwolves,22007,1
Minnesota Timberwolves,22008,0
Minnesota Timberwolves,22009,0
Minnesota Timberwolves,22010,0
Minnesota Timberwolves,22011,0
Minnesota Timberwolves,22012,1
Minnesota Timberwolves,22013,0
Minnesota Timberwolves,22014,1
Minnesota Timberwolves,22015,0
Minnesota Timberwolves,22016,0
Minnesota Timberwolves,22018,1
Minnesota Timberwolves,22019,1
Minnesota Timberwolves,22020,1
Minnesota Timberwolves,22021,0
Minnesota Timberwolves,22022,1
New Jersey Nets,21989,0
New Jersey Nets,21990,0
New Jersey Nets,21991,0
New Jersey Nets,21992,0
New Jersey Nets,21993,0
New Jersey Nets,21994,2
New Jersey Nets,21995,0
New Jersey Nets,21996,0
New Jersey Nets,21997,0
New Jersey Nets,21998,1
New Jersey Nets,21999,0
New Jersey Nets,22000,0
New Jersey Nets,22001,1
New Jersey Nets,22002,1
New Jersey Nets,22003,1
New Jersey Nets,22004,2
New Jersey Nets,22005,1
New Jersey Nets,22006,1
New Jersey Nets,22007,1
New Jersey Nets,22008,1
